Cow,Treat,Birth,AgeDay,AgeYear,Parity ,IA,DryPeriod,DIM,DIM305,TotMilk,Calving,CalvingTime,ColWeight,Brix,IcaCalve,IcaMilk,Breed,Sex,CalfWeight ,Calving difficulty,Fat,Protein,Lactose,SNF,SCC,MUN,MonoUnsaturatedFA,PolyUnsaturatedFA,SaturatedFA,TotalUnsaturatedFA,SCFA,MCFA,LCFA,Trans FA,Aceton,BHB,C14,C16,C18,C18.1,DSCC,DeNovoFa,MixeFA,PreformFa
8204,X-Zelit,5/15/2015,1789,4.901369863,4,7/4/2019,57,349,36120,36620,43928,7:00:00 PM,20.5,33.9,0.94,0.98,Hostein,M,44.452016,1,2.31,14.02,3.05,19.37,1210,41.3,0.387,0.3,2.292,0,0.017,2.699,0,0.18,0,0,0.758,0.951,0.13,0.06,1.625,1.436,0,.
7889,DCAD,6/14/2014,2125,5.821917808,4,6/27/2019,62,501,36840,48740,43929,5:30:00 PM,41,20,0.94,0,Angus,F,40.369688,2,5.01,10.7,2.98,15.79,1502,20.2,1.58,0.367,3.437,1.318,0.237,2.95,1.352,0.188,0,0,0.779,1.333,0.572,1.07,1.736,1.892,1.159,.
8917,X-Zelit,6/1/2018,678,1.857534247,2,7/11/2019,45,305,33180,24400,43930,1:30:00 PM,9.14,21,1.24,1.21,Hostein,M,45.812792,1,5.05,3.85,4.55,9.7,811,10,1.628,0.206,2.807,1.989,0.431,1.761,2.192,0.085,0.05,0.05,0.341,1.05,0.71,1.48,1.02,1.305,2.364,.
8503,Control,3/30/2016,1472,4.032876712,3,6/27/2019,65,337,36330,34470,43931,8:00:00 PM,5.1,23.9,0.85,0.74,Hostein,M,40.369688,1,5.04,3.86,4.53,9.7,2892,9.9,1.465,0.114,2.849,1.938,0.436,1.987,2.019,0.047,0.13,0.06,0.377,1.147,0.596,1.44,1.055,1.448,2.206,.
8386,Control,11/27/2015,1597,4.375342466,3,7/5/2019,59,397,36740,40980,43932,8:00:00 AM,18,23.4,1.04,0.97,Hostein,F,42.184056,1,5.04,3.84,4.55,9.71,2377,9.4,1.48,0.172,2.909,1.876,0.438,1.857,2.092,0.117,0.1,0.04,0.386,1.105,0.653,1.35,1.068,1.334,2.292,.
8826,Control,6/1/2017,1045,2.863013699,2,7/11/2019,45,305,34740,36210,43932,11:05:00 AM,16,21.8,1.09,0.96,XB,M,44.905608,1,5.04,3.84,4.55,9.7,1180,10.4,1.567,0.217,2.786,2.006,0.433,1.738,2.148,0.085,0.05,0.04,0.347,1.06,0.707,1.44,1.008,1.303,2.371,.
8900,DCAD,5/14/2017,1064,2.915068493,2,7/11/2029,49,309,25440,19240,43933,9:00:00 PM,2.5,39,1.37,1.16,Hostein,M,40.82328,1,5.06,3.84,4.55,9.71,38,9.1,1.521,0.151,2.946,1.859,0.424,1.898,2.241,0.15,0.12,0.06,0.384,1.068,0.663,1.39,1.077,1.332,2.31,.
8879,Control,4/21/2017,1092,2.991780822,2,7/18/2019,53,335,31070,25460,43938,5:45:00 AM,18,20,1.06,1.06,Hostein,M,40.82328,1,2.39,10.7,2.94,15.65,1352,26.7,0.3,0.24,2.2,0.08,0.15,2.46,0,0.14,0,0,0.63,0.7,0.25,0.12,1.38,1.5,0,.
8478,DCAD,3/9/2016,1502,4.115068493,3,7/18/2019,66,397,26960,28480,43940,3:00:00 AM,10,14.2,1.15,1.12,XB,M,46.266384,1,9.13,6.08,3.42,11.16,2114,28.7,3.09,0.36,5.35,3.33,0.61,3.95,3.82,0.15,0.24,0.05,0.83,2.46,1.13,2.54,1.89,3.18,3.3,.
8875,DCAD,4/18/2017,1097,3.005479452,2,7/18/2019,55,334,31690,25940,43940,11:40:00 AM,23.5,21.5,1,0.96,Hostein,M,4.989512,1,4.56,11.59,3.19,16.45,1832,28.7,0.91,0.28,3.58,0.76,0.25,3.52,0.95,0.13,0,0,0.97,0.99,0.17,0.6,1.84,2.04,0.04,.
8547,X-Zelit,5/17/2019,342,0.936986301,3,7/25/2019,59,296,30380,26310,4/23/2020,10:30:00 AM,25,24.2,1.14,1.16,Hostein,M,46.719976,1,5.78,13.59,3.16,18.55,17,36.8,1.41,0.4,4.39,1.1,0.3,4.1,1.51,0.15,0,0,1.05,1.5,0.28,0.95,2.22,2.34,0.65,
8117,X-Zelit,2/12/2015,1898,5.2,4,7/18/2019,60,363,40850,43750,4/24/2020,4:30:00 PM,25.7,24.9,1.02,1,Hostein,F,44.905608,1,1.72,14.35,3,19.61,21,48.5,0.11,0.41,2.23,0,0.01,2.81,0,0.25,0,0,0.89,0.98,0.18,0,1.81,1.19,0,
8500,X-Zelit,3/28/2016,1489,4.079452055,3,7/18/2019,75,289,31790,27720,4/25/2020,7:45:00 AM,12,26.9,1.12,1.1,Hostein,M,43.544832,1,5.76,13.14,3.2,18.13,14,34,1.39,0.4,4.33,1.14,0.29,4.09,1.5,0.14,0,0,1.02,1.58,0.33,1,2.14,2.32,0.78,
8537,X-Zelit,5/9/2016,1452,3.978082192,3,8/1/2019,46,346,33810,32270,4/30/2020,9:30:00 PM,36.15,19.9,1.12,1.1,Hostein,M,47.173568,1,1.95,10.91,2.99,15.88,911,30.1,0.3,0.27,2,0,0.03,2.31,0,0.21,0,0,0.68,0.84,0.22,0,1.17,1.1,0,
8249,Control,7/15/2015,1753,4.802739726,4,8/9/2019,75,281,27710,24020,5/2/2020,6:00:00 AM,15.9,22.1,0.94,0.91,Hostein,F,37.648136,1,4.47,12.19,3.62,17.52,557,39.7,1.09,0.38,3.52,0.73,0.21,3.46,0.93,0.13,0,0,0.9,1.25,0.42,0.68,1.91,2.32,0,0
8032,Control,11/9/2014,2002,5.484931507,4,7/25/2019,81,420,31710,38620,5/3/2020,3:45:00 PM,48.4,26.4,1.04,1.2,XB,M,48.534344,1,7.16,13.99,2.61,18.93,125,32.9,2.39,0.56,4.63,2.18,0.26,4.5,2.09,0.23,0,0,1.21,2.1,0.67,1.59,2.28,2.39,2.22,2.22
8555,DCAD,5/24/2016,1441,3.947945205,3,8/1/2019,49,346,26220,25580,5/4/2020,8:40:00 PM,8,19.6,1,1.11,Hostein,F,42.637648,1,3.85,15.27,2.71,20.02,2534,49.7,0.13,0.46,4.62,0,0.04,4.82,0,0.29,0,0,1.4,2.12,0.31,0,2.6,2.59,0,
8127,Control,2/20/2015,1901,5.208219178,4,8/1/2019,71,321,28480,28520,5/5/2020,9:50:00 AM,5.2,36.2,0.84,0.64,Hostein,F,39.916096,1,7.31,15.1,2.53,19.9,118,38.8,2.23,0.61,5.12,1.82,0.23,4.97,1.79,0.27,0,0,1.38,2.33,0.67,1.31,2.55,2.62,1.55,
7417,X-Zelit,12/18/2012,2696,7.38630137,6,8/1/2019,72,343,29220,30520,5/6/2020,3:00:00 AM,20.6,35.5,0.92,0.99,Hostein,F,40.369688,1,4.65,13.57,2.7,18.52,1423,34.7,1.08,0.39,3.67,0.75,0.23,3.7,0.61,0.17,0,0,0.92,1.67,0.45,0.59,2.05,2.17,0.13,
8498,DCAD,3/26/2016,1502,4.115068493,3,8/1/2019,72,329,33420,31410,5/6/2020,6:00:00 AM,16.35,32,0.97,0.94,Hostein,F,36.740952,1,6.07,17.36,2.26,22.01,666,41.2,1.46,0.59,5.02,0.75,0.16,5.13,0.36,0.27,0,0,1.48,2.52,0.46,0.44,2.93,2.74,0,
7363,DCAD,11/5/2012,2742,7.512328767,6,8/1/2019,54,352,38500,41920,5/9/2020,9:00:00 PM,30.1,20.2,0.82,0.91,Hostein,M,43.544832,1,0.64,10.7,3.63,15.98,26,24.4,0,0.26,1.16,0,0,1.85,0,0.17,0,0,0.6,0.53,0.08,0,1.07,0.84,0,
8551,DCAD,5/19/2016,1453,3.980821918,3,8/1/2019,56,346,36030,34300,5/11/2020,9:00:00 AM,14.95,16.7,0.65,0.86,Hostein,M,43.544832,3,5.78,7.43,4.23,12.54,633,24,1.53,0.33,3.86,1.64,0.51,2.66,2.25,0.13,0.15,0,0.85,0.47,0.47,1.28,2.08,2.57,0,
8484,X-Zelit,3/13/2016,1522,4.169863014,3,8/1/2019,79,381,39300,41400,5/13/2020,7:45:00 AM,31.35,30.9,1.27,1.2,LM,M,52.16308,1,4.3,16.6,3.05,21.18,1779,45.1,0.76,0.56,3.97,0.11,0.24,3.81,0.01,0.25,0,0,1.26,1.37,0.33,0,2.87,2.6,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
